instance	dwave_energy	cplex_energy	gap
randomIsingDWavePegasus_13_dense_3	-2471.3104206017106	-2439.694985336332	-1.2958765524133742
randomIsingDWavePegasus_13_dense_4	-2468.5246145319775	-2455.2875062497815	-0.5391266093482645
randomIsingDWavePegasus_13_dense_5	-2474.099510041	-2451.5280343301233	-0.9207104872877514
randomIsingDWavePegasus_13_dense_6	-2440.27749259561	-2372.1283702932415	-2.8729103852817217
randomIsingDWavePegasus_13_dense_7	-2404.828449246399	-2389.4837406929582	-0.6421767301497009
randomIsingDWavePegasus_13_dense_8	-2428.2507960426547	-2424.748901036088	-0.14442299592632185
randomIsingDWavePegasus_13_dense_9	-2445.1280337282615	-2447.6664302961153	0.10370680156555319
randomIsingDWavePegasus_14_dense_1	-2839.3429143533003	-2825.045455339523	-0.5060966005610361
randomIsingDWavePegasus_14_dense_10	-2872.5355727470087	-2871.631586352847	-0.031479887547474016
randomIsingDWavePegasus_14_dense_11	-2862.147421301184	-2813.5126279755286	-1.7286147160693754
randomIsingDWavePegasus_14_dense_12	-2879.60333781362	-2882.150698041467	0.08838400537411605
randomIsingDWavePegasus_14_dense_13	-2821.110207291295	-2813.602742613136	-0.2668274580649045
randomIsingDWavePegasus_14_dense_14	-2867.0068787876653	-2865.4537707877894	-0.054201118709687954
randomIsingDWavePegasus_14_dense_15	-2848.328406789703	-2829.815310083962	-0.6542157235410497
randomIsingDWavePegasus_14_dense_16	-2864.9853795175895	-2850.5786209089706	-0.5053976937505065
randomIsingDWavePegasus_14_dense_17	-2909.1053438708514	-2901.2044615794166	-0.2723311092363863
randomIsingDWavePegasus_14_dense_18	-2898.9783430944926	-2882.305440118045	-0.5784571872356652
randomIsingDWavePegasus_14_dense_19	-2867.276109856552	-2847.851840427081	-0.6820674149452327
randomIsingDWavePegasus_14_dense_2	-2892.8110093745527	-2879.7830945560627	-0.4523922250643786
randomIsingDWavePegasus_14_dense_20	-2857.4203695240685	-2820.578711875347	-1.3061737115723429
randomIsingDWavePegasus_14_dense_3	-2880.412427004862	-2879.978224042039	-0.015076605760353117
randomIsingDWavePegasus_14_dense_4	-2876.1901437809247	-2833.099016511932	-1.5209891012579535
randomIsingDWavePegasus_14_dense_5	-2850.8568736521593	-2749.404758593644	-3.6899665188042072
