topology,regime,solver,graph_size,num_var,gap_mean,gap_std,runtime_mean,runtime_std
pegasus,small,AutoTune VeloxQ,6.0,680.0,0.0032448509176378755,0.00616069851544471,0.062045687120000005,0.032809886106259664
pegasus,small,AutoTune VeloxQ,7.0,960.0,0.0017127658324769944,0.003927978484591676,0.06644183533999999,0.03370546170855965
pegasus,small,AutoTune VeloxQ,8.0,1288.0,0.007041097098042401,0.009156801615516477,0.078371741665,0.059683924941202206
pegasus,small,AutoTune VeloxQ,9.0,1662.0,0.010074608915520302,0.010600159013583316,0.124297283735,0.05637961063224277
pegasus,small,AutoTune VeloxQ,10.0,2086.0,0.010047021013488644,0.006477168133932682,0.204800655035,0.10664026229030761
pegasus,small,AutoTune VeloxQ,11.0,2556.0,0.016579060837222766,0.00799393234637501,0.261448637855,0.13681030724023993
pegasus,small,AutoTune VeloxQ,12.0,3075.0,0.020755018883435027,0.011386911470593765,0.43489329336,0.15555795431867334
pegasus,small,AutoTune VeloxQ,13.0,3640.0,0.02106539658987385,0.008687542769840392,0.33307411252,0.16127776225376997
pegasus,small,AutoTune VeloxQ,14.0,4252.0,0.023973192422197913,0.009176757642119466,0.6239815439499999,0.1593837649141581
pegasus,small,AutoTune VeloxQ,15.0,4909.0,0.025184358868526897,0.008238986659000965,0.83255077941,0.12897124771097887
pegasus,small,AutoTune VeloxQ,16.0,5612.0,0.027436144226387446,0.0100689409564533,0.82533131638,0.13187740450482022
pegasus,small,Custom VeloxQ,2.0,40.0,0.0003353834788213991,0.0023971018929893743,0.004963551155,0.0001680627485461169
pegasus,small,Custom VeloxQ,3.0,128.0,0.000550004901000701,0.0019250202405359069,0.005002433325,0.00018659491064825046
pegasus,small,Custom VeloxQ,4.0,264.0,0.0002509584926855957,0.002232580104604092,0.00515536594,0.0003523901241400696
pegasus,small,Custom VeloxQ,5.0,448.0,0.0039930879844979035,0.007136093003992533,0.00530969084,0.00020669698517058145
pegasus,small,Custom VeloxQ,6.0,680.0,0.02011755309681618,0.022579597691788432,0.010333977110000002,0.04615456704838928
pegasus,small,Custom VeloxQ,7.0,960.0,0.026734163257703544,0.021842654901486534,0.00642483437,0.001981339965230797
pegasus,small,Custom VeloxQ,8.0,1288.0,0.037516057679200764,0.026451188551325444,0.00701759111,0.0015655236284212138
pegasus,small,Custom VeloxQ,9.0,1662.0,0.04951718021580248,0.027797678382181654,0.008208629885,0.0022232629635722317
pegasus,small,Custom VeloxQ,10.0,2086.0,0.04734053582102218,0.0191869755176532,0.014233006655,0.030906018553254932
pegasus,small,Custom VeloxQ,11.0,2556.0,0.06761940185141349,0.024770275778609428,0.01548989416,0.030466922911060523
pegasus,small,Custom VeloxQ,12.0,3075.0,0.07341628093974895,0.022932649931369117,0.027405966335,0.05914035744315633
pegasus,small,Custom VeloxQ,13.0,3640.0,0.07311529340509955,0.020491954389549944,0.01692198287,0.001757502879055965
pegasus,small,Custom VeloxQ,14.0,4252.0,0.0768814685391494,0.017305185440863576,0.02956780034,0.014417868076302425
pegasus,small,Custom VeloxQ,15.0,4909.0,0.08375012628797472,0.01756074881879597,0.08623837195,0.13438579789330604
pegasus,small,Custom VeloxQ,16.0,5612.0,0.08850782267147168,0.01796463691958193,0.07357588899,0.0737036408277939
pegasus,small,D-Wave Advantage6.4,2.0,40.0,-5.408027707342399e-07,4.9203265223004845e-06,0.17786218,5.697644942867395e-07
pegasus,small,D-Wave Advantage6.4,3.0,128.0,-1.5718190439919646e-06,5.892789851862506e-06,0.1849275,7.83782998973225e-07
pegasus,small,D-Wave Advantage6.4,4.0,264.0,1.322102307441342e-07,5.319980731326797e-06,0.198896014,9.3098928706535e-07
pegasus,small,D-Wave Advantage6.4,5.0,448.0,0.005368427526218849,0.0120443031890367,0.20596198000000002,1.0925585615947637e-06
pegasus,small,D-Wave Advantage6.4,6.0,680.0,0.03310325680475969,0.022969864620499547,0.21984865999999997,2.188101796924166e-06
pegasus,small,D-Wave Advantage6.4,7.0,960.0,0.049316635015531095,0.019731527294983217,0.26023646,1.4479022938719928e-06
pegasus,small,D-Wave Advantage6.4,8.0,1288.0,0.0971974201007591,0.04116957868807687,0.2740608,2.2255927655067136e-06
pegasus,small,D-Wave Advantage6.4,9.0,1662.0,0.1302175211464719,0.038979540348327346,0.2792832,1.912177045315034e-06
pegasus,small,D-Wave Advantage6.4,10.0,2086.0,0.1443907549527635,0.042145703696164785,0.28866324,2.312801900637512e-06
pegasus,small,D-Wave Advantage6.4,11.0,2556.0,0.17878219455966007,0.04984623987855942,0.29388442000000004,2.869439703247998e-06
pegasus,small,D-Wave Advantage6.4,12.0,3075.0,0.1937694245435732,0.07109622526893357,0.2959738,3.370709748790849e-06
pegasus,small,D-Wave Advantage6.4,13.0,3640.0,0.2158112403059485,0.06011828201887245,0.30119432,3.4235100485507518e-06
pegasus,small,D-Wave Advantage6.4,14.0,4252.0,0.22800116644263344,0.044462637183481514,0.306415792,5.001045785364218e-06
pegasus,small,D-Wave Advantage6.4,15.0,4909.0,0.2273316308009715,0.04419875621433719,0.31686024,3.7069493770874577e-06
pegasus,small,D-Wave Advantage6.4,16.0,5612.0,0.22323451515555148,0.024207687491909678,0.3168623466666667,2.868427929719962e-06
