instance,num_var,ground_energy,pa_energy,gap,pa_runtime
3R3X_Ising_with_HUBO_Float64_1000_6_sparse.h5,1000,-500.0,-469.0,6.2,0.111744925
3R3X_Ising_with_HUBO_Float64_1000_7_sparse.h5,1000,-500.0,-470.5,5.8999999999999995,0.110167977
3R3X_Ising_with_HUBO_Float64_1000_8_sparse.h5,1000,-500.0,-471.0,5.800000000000001,0.113824322
3R3X_Ising_with_HUBO_Float64_1000_9_sparse.h5,1000,-500.0,-471.0,5.800000000000001,0.190459661
3R3X_Ising_with_HUBO_Float64_2000_10_sparse.h5,2000,-1000.0,-935.5,6.45,0.217485734
3R3X_Ising_with_HUBO_Float64_2000_1_sparse.h5,2000,-1000.0,-934.5,6.550000000000001,0.219441299
3R3X_Ising_with_HUBO_Float64_2000_2_sparse.h5,2000,-1000.0,-934.5,6.550000000000001,0.215738805
3R3X_Ising_with_HUBO_Float64_2000_3_sparse.h5,2000,-1000.0,-931.5,6.8500000000000005,0.214977917
3R3X_Ising_with_HUBO_Float64_2000_4_sparse.h5,2000,-1000.0,-934.0,6.6000000000000005,0.219369062
3R3X_Ising_with_HUBO_Float64_2000_5_sparse.h5,2000,-1000.0,-934.0,6.6000000000000005,0.21706484
3R3X_Ising_with_HUBO_Float64_2000_6_sparse.h5,2000,-1000.0,-937.0,6.3,0.216238772
3R3X_Ising_with_HUBO_Float64_2000_7_sparse.h5,2000,-1000.0,-935.0,6.5,0.215406427
3R3X_Ising_with_HUBO_Float64_2000_8_sparse.h5,2000,-1000.0,-934.5,6.550000000000001,0.220738638
3R3X_Ising_with_HUBO_Float64_2000_9_sparse.h5,2000,-1000.0,-934.0,6.6000000000000005,0.291552457
3R3X_Ising_Float64_1_v=1.0.h5,10000,-20000.0,-18892.0,5.54,1.061340055
3R3X_Ising_Float64_2_v=1.0.h5,10000,-20000.0,-18920.0,5.4,1.057759037
3R3X_Ising_Float64_3_v=1.0.h5,10000,-20000.0,-18866.0,5.67,1.196405621
3R3X_Ising_Float64_4_v=1.0.h5,10000,-20000.0,-18864.0,5.680000000000001,1.110080663
3R3X_Ising_Float64_5_v=1.0.h5,10000,-20000.0,-18858.0,5.71,1.079558721
3R3X_Ising_Float64_6_v=1.0.h5,10000,-20000.0,-18870.0,5.65,1.107647652
3R3X_Ising_Float64_7_v=1.0.h5,10000,-20000.0,-18894.0,5.53,1.073855735
3R3X_Ising_Float64_8_v=1.0.h5,10000,-20000.0,-18938.0,5.3100000000000005,1.191211528
3R3X_Ising_Float64_9_v=1.0.h5,10000,-20000.0,-18878.0,5.609999999999999,1.065907744
3R3X_Ising_Float64_10_v=1.0.h5,10000,-20000.0,-18894.0,5.53,1.209830096
3R3X_Ising_Float64_1_v=1.0.h5,20000,-40000.0,-37594.0,6.015000000000001,1.970559127
3R3X_Ising_Float64_2_v=1.0.h5,20000,-40000.0,-37606.0,5.985,2.098950911
3R3X_Ising_Float64_3_v=1.0.h5,20000,-40000.0,-37630.0,5.925,1.98713279
3R3X_Ising_Float64_4_v=1.0.h5,20000,-40000.0,-37572.0,6.069999999999999,2.122082542
3R3X_Ising_Float64_5_v=1.0.h5,20000,-40000.0,-37620.0,5.949999999999999,2.10834267
3R3X_Ising_Float64_6_v=1.0.h5,20000,-40000.0,-37572.0,6.069999999999999,1.987103055
3R3X_Ising_Float64_7_v=1.0.h5,20000,-40000.0,-37642.0,5.8950000000000005,2.112348966
3R3X_Ising_Float64_8_v=1.0.h5,20000,-40000.0,-37616.0,5.96,2.107948512
3R3X_Ising_Float64_9_v=1.0.h5,20000,-40000.0,-37622.0,5.945,2.024580755
3R3X_Ising_Float64_10_v=1.0.h5,20000,-40000.0,-37610.0,5.975,1.986606832
3R3X_Ising_Float64_1_v=1.0.h5,30000,-60000.0,-56458.0,5.903333333333333,3.120657023
3R3X_Ising_Float64_2_v=1.0.h5,30000,-60000.0,-56404.0,5.993333333333333,2.915829812
3R3X_Ising_Float64_3_v=1.0.h5,30000,-60000.0,-56560.0,5.733333333333333,3.106387171
3R3X_Ising_Float64_4_v=1.0.h5,30000,-60000.0,-56572.0,5.713333333333334,2.972188299
3R3X_Ising_Float64_5_v=1.0.h5,30000,-60000.0,-56616.0,5.64,2.916614261
3R3X_Ising_Float64_6_v=1.0.h5,30000,-60000.0,-56694.0,5.510000000000001,3.108238289
3R3X_Ising_Float64_7_v=1.0.h5,30000,-60000.0,-56564.0,5.726666666666667,3.050478153
3R3X_Ising_Float64_8_v=1.0.h5,30000,-60000.0,-56562.0,5.7299999999999995,3.052850372
3R3X_Ising_Float64_9_v=1.0.h5,30000,-60000.0,-56380.0,6.033333333333333,3.036026874
3R3X_Ising_Float64_10_v=1.0.h5,30000,-60000.0,-56480.0,5.866666666666666,3.019694085
3R3X_Ising_Float64_1_v=1.0.h5,40000,-80000.0,-75058.0,6.177499999999999,3.917055825
3R3X_Ising_Float64_2_v=1.0.h5,40000,-80000.0,-75124.0,6.095,3.914241028
3R3X_Ising_Float64_3_v=1.0.h5,40000,-80000.0,-75080.0,6.15,3.921088839
3R3X_Ising_Float64_4_v=1.0.h5,40000,-80000.0,-75522.0,5.5975,3.912125697
3R3X_Ising_Float64_5_v=1.0.h5,40000,-80000.0,-75130.0,6.0874999999999995,3.91370691
3R3X_Ising_Float64_6_v=1.0.h5,40000,-80000.0,-75356.0,5.805,3.941008653
3R3X_Ising_Float64_7_v=1.0.h5,40000,-80000.0,-75130.0,6.0874999999999995,3.977122011
3R3X_Ising_Float64_8_v=1.0.h5,40000,-80000.0,-75154.0,6.0575,3.988617206
3R3X_Ising_Float64_9_v=1.0.h5,40000,-80000.0,-75232.0,5.96,3.998489584
3R3X_Ising_Float64_10_v=1.0.h5,40000,-80000.0,-75254.0,5.9325,3.988277961
3R3X_Ising_Float64_1_v=1.0.h5,50000,-100000.0,-93678.0,6.322,5.052399409
3R3X_Ising_Float64_2_v=1.0.h5,50000,-100000.0,-93846.0,6.154,5.067607114
3R3X_Ising_Float64_3_v=1.0.h5,50000,-100000.0,-93684.0,6.315999999999999,5.042328211
3R3X_Ising_Float64_4_v=1.0.h5,50000,-100000.0,-93618.0,6.382000000000001,4.963863735
3R3X_Ising_Float64_5_v=1.0.h5,50000,-100000.0,-93736.0,6.264,5.033129886
3R3X_Ising_Float64_6_v=1.0.h5,50000,-100000.0,-93662.0,6.338000000000001,4.956354709
3R3X_Ising_Float64_7_v=1.0.h5,50000,-100000.0,-93708.0,6.292000000000001,4.951005395
3R3X_Ising_Float64_8_v=1.0.h5,50000,-100000.0,-93656.0,6.343999999999999,4.956510743
3R3X_Ising_Float64_9_v=1.0.h5,50000,-100000.0,-93694.0,6.306000000000001,4.969745277
3R3X_Ising_Float64_10_v=1.0.h5,50000,-100000.0,-93670.0,6.329999999999999,4.991329702
3R3X_Ising_Float64_1_v=1.0.h5,60000,-120000.0,-112760.0,6.033333333333333,5.901905476
3R3X_Ising_Float64_2_v=1.0.h5,60000,-120000.0,-112818.0,5.985,5.88247677
3R3X_Ising_Float64_3_v=1.0.h5,60000,-120000.0,-112854.0,5.955,5.89737148
3R3X_Ising_Float64_4_v=1.0.h5,60000,-120000.0,-112702.0,6.081666666666666,5.736174048
3R3X_Ising_Float64_5_v=1.0.h5,60000,-120000.0,-112580.0,6.183333333333333,5.759100975
3R3X_Ising_Float64_6_v=1.0.h5,60000,-120000.0,-112722.0,6.065,5.770044089
3R3X_Ising_Float64_7_v=1.0.h5,60000,-120000.0,-112624.0,6.1466666666666665,5.768055002
3R3X_Ising_Float64_8_v=1.0.h5,60000,-120000.0,-112718.0,6.068333333333333,5.779502815
3R3X_Ising_Float64_9_v=1.0.h5,60000,-120000.0,-112476.0,6.2700000000000005,5.774488341
3R3X_Ising_Float64_10_v=1.0.h5,60000,-120000.0,-112658.0,6.118333333333333,5.795650668
3R3X_Ising_Float64_1_v=1.0.h5,70000,-140000.0,-131270.0,6.235714285714286,6.916099695
3R3X_Ising_Float64_2_v=1.0.h5,70000,-140000.0,-131278.0,6.23,6.787859816
3R3X_Ising_Float64_3_v=1.0.h5,70000,-140000.0,-131288.0,6.222857142857143,6.799303484
3R3X_Ising_Float64_4_v=1.0.h5,70000,-140000.0,-131294.0,6.218571428571429,6.764802199
3R3X_Ising_Float64_5_v=1.0.h5,70000,-140000.0,-131308.0,6.208571428571428,6.773461657
3R3X_Ising_Float64_6_v=1.0.h5,70000,-140000.0,-131280.0,6.228571428571429,6.785612453
3R3X_Ising_Float64_7_v=1.0.h5,70000,-140000.0,-131346.0,6.1814285714285715,6.799139042
3R3X_Ising_Float64_8_v=1.0.h5,70000,-140000.0,-131250.0,6.25,6.797440637
3R3X_Ising_Float64_9_v=1.0.h5,70000,-140000.0,-131332.0,6.191428571428571,6.930391316
3R3X_Ising_Float64_10_v=1.0.h5,70000,-140000.0,-131400.0,6.142857142857143,6.780254539
3R3X_Ising_Float64_1_v=1.0.h5,80000,-160000.0,-150096.0,6.1899999999999995,8.123754202
3R3X_Ising_Float64_2_v=1.0.h5,80000,-160000.0,-150040.0,6.225,7.981680504
3R3X_Ising_Float64_3_v=1.0.h5,80000,-160000.0,-149932.0,6.2924999999999995,7.841680966
3R3X_Ising_Float64_4_v=1.0.h5,80000,-160000.0,-149978.0,6.26375,7.856767066
3R3X_Ising_Float64_5_v=1.0.h5,80000,-160000.0,-149978.0,6.26375,7.882845999
3R3X_Ising_Float64_6_v=1.0.h5,80000,-160000.0,-149990.0,6.25625,7.924831926
3R3X_Ising_Float64_7_v=1.0.h5,80000,-160000.0,-150006.0,6.24625,7.898038915
3R3X_Ising_Float64_8_v=1.0.h5,80000,-160000.0,-150110.0,6.18125,7.891708519
3R3X_Ising_Float64_9_v=1.0.h5,80000,-160000.0,-149988.0,6.2575,7.880094051
3R3X_Ising_Float64_10_v=1.0.h5,80000,-160000.0,-149958.0,6.27625,7.997194746
3R3X_Ising_Float64_1_v=1.0.h5,90000,-180000.0,-168780.0,6.233333333333333,9.181966215
3R3X_Ising_Float64_2_v=1.0.h5,90000,-180000.0,-168914.0,6.158888888888889,9.059694754
3R3X_Ising_Float64_3_v=1.0.h5,90000,-180000.0,-168978.0,6.123333333333333,9.034542509
3R3X_Ising_Float64_4_v=1.0.h5,90000,-180000.0,-169054.0,6.081111111111111,9.158842054
3R3X_Ising_Float64_5_v=1.0.h5,90000,-180000.0,-168814.0,6.214444444444444,9.172448516
3R3X_Ising_Float64_6_v=1.0.h5,90000,-180000.0,-169086.0,6.0633333333333335,9.160835823
3R3X_Ising_Float64_7_v=1.0.h5,90000,-180000.0,-168936.0,6.1466666666666665,9.184079465
3R3X_Ising_Float64_8_v=1.0.h5,90000,-180000.0,-168890.0,6.172222222222222,9.169731555
3R3X_Ising_Float64_9_v=1.0.h5,90000,-180000.0,-169048.0,6.084444444444444,9.142924113
3R3X_Ising_Float64_10_v=1.0.h5,90000,-180000.0,-169006.0,6.107777777777778,9.148285621
3R3X_Ising_Float64_1_v=1.0.h5,100000,-200000.0,-186828.0,6.586,9.96111409
3R3X_Ising_Float64_2_v=1.0.h5,100000,-200000.0,-186758.0,6.621,10.003568231
3R3X_Ising_Float64_3_v=1.0.h5,100000,-200000.0,-186558.0,6.721000000000001,9.845220589
3R3X_Ising_Float64_4_v=1.0.h5,100000,-200000.0,-186698.0,6.651,9.807008181
3R3X_Ising_Float64_5_v=1.0.h5,100000,-200000.0,-186528.0,6.736000000000001,9.832797692
3R3X_Ising_Float64_6_v=1.0.h5,100000,-200000.0,-186744.0,6.628,9.951097157
3R3X_Ising_Float64_7_v=1.0.h5,100000,-200000.0,-186622.0,6.689,9.860911767
3R3X_Ising_Float64_8_v=1.0.h5,100000,-200000.0,-186548.0,6.726,9.873756623
