instance,num_var,density,velox_energy,gap,runtime_velox
3R3X_Ising_Float64_3_v=1.0.h5,30000,0.00019999777777777777,-57032.0,4.9466667,1.495411667
3R3X_Ising_Float64_4_v=1.0.h5,30000,0.00019998666666666667,-57040.0,4.9333334,1.402461112
3R3X_Ising_Float64_5_v=1.0.h5,30000,0.00019998888888888888,-57002.0,4.996667,1.426551282
3R3X_Ising_Float64_6_v=1.0.h5,30000,0.00019999555555555556,-57084.0,4.86,1.380295122
3R3X_Ising_Float64_7_v=1.0.h5,30000,0.00019999111111111112,-57060.0,4.9,1.481747362
3R3X_Ising_Float64_8_v=1.0.h5,30000,0.00019999333333333333,-57098.0,4.8366666,1.406593021
3R3X_Ising_Float64_9_v=1.0.h5,30000,0.00019999111111111112,-57046.0,4.923333,1.531748561
3R3X_Ising_Float64_10_v=1.0.h5,30000,0.00019999111111111112,-57106.0,4.8233333,1.40744107
3R3X_Ising_Float64_1_v=1.0.h5,40000,0.000149995,-76012.0,4.9849997,2.051078918
3R3X_Ising_Float64_2_v=1.0.h5,40000,0.00014998875,-76020.0,4.975,1.883620027
3R3X_Ising_Float64_3_v=1.0.h5,40000,0.00014999625,-76054.0,4.9325,2.024727214
3R3X_Ising_Float64_4_v=1.0.h5,40000,0.000149995,-76012.0,4.9849997,1.87087323
3R3X_Ising_Float64_5_v=1.0.h5,40000,0.0001499975,-76002.0,4.9975,1.992771579
3R3X_Ising_Float64_6_v=1.0.h5,40000,0.00014998625,-76024.0,4.97,1.877652036
3R3X_Ising_Float64_7_v=1.0.h5,40000,0.00014999875,-76030.0,4.9625,1.866593271
3R3X_Ising_Float64_8_v=1.0.h5,40000,0.000149995,-76052.0,4.935,1.988031182
3R3X_Ising_Float64_9_v=1.0.h5,40000,0.00014999125,-76056.0,4.93,2.066192326
3R3X_Ising_Float64_10_v=1.0.h5,40000,0.0001499975,-76052.0,4.935,1.854818745
3R3X_Ising_Float64_1_v=1.0.h5,50000,0.000119992,-95076.0,4.9240003,2.468476938
3R3X_Ising_Float64_2_v=1.0.h5,50000,0.0001199928,-94970.0,5.0299997,2.385455888
3R3X_Ising_Float64_3_v=1.0.h5,50000,0.0001199984,-95006.0,4.994,2.450444115
3R3X_Ising_Float64_4_v=1.0.h5,50000,0.0001199936,-94978.0,5.0220003,2.419627543
3R3X_Ising_Float64_5_v=1.0.h5,50000,0.0001199968,-95010.0,4.99,2.477881778
3R3X_Ising_Float64_6_v=1.0.h5,50000,0.0001199952,-94996.0,5.0039997,2.400914077
3R3X_Ising_Float64_7_v=1.0.h5,50000,0.0001199952,-94984.0,5.016,2.435765606
3R3X_Ising_Float64_8_v=1.0.h5,50000,0.0001199984,-95038.0,4.962,2.467354214
3R3X_Ising_Float64_9_v=1.0.h5,50000,0.0001199984,-95018.0,4.982,2.385616631
3R3X_Ising_Float64_10_v=1.0.h5,50000,0.0001199952,-95022.0,4.978,2.446411576
3R3X_Ising_Float64_1_v=1.0.h5,60000,9.999722222222222e-5,-114014.0,4.988333,2.95143008
3R3X_Ising_Float64_2_v=1.0.h5,60000,9.999777777777778e-5,-113994.0,5.005,2.907644515
3R3X_Ising_Float64_3_v=1.0.h5,60000,9.9995e-5,-114000.0,5.0,2.97414486
3R3X_Ising_Float64_4_v=1.0.h5,60000,9.999888888888889e-5,-114046.0,4.961667,2.9147242
3R3X_Ising_Float64_5_v=1.0.h5,60000,9.999666666666666e-5,-113996.0,5.0033336,2.947484537
3R3X_Ising_Float64_6_v=1.0.h5,60000,9.999722222222222e-5,-114020.0,4.9833336,3.071499659
3R3X_Ising_Float64_7_v=1.0.h5,60000,9.999666666666666e-5,-114048.0,4.96,2.894387713
3R3X_Ising_Float64_8_v=1.0.h5,60000,9.999888888888889e-5,-114000.0,5.0,2.941018514
3R3X_Ising_Float64_9_v=1.0.h5,60000,9.999777777777778e-5,-114022.0,4.9816666,2.967447547
3R3X_Ising_Float64_10_v=1.0.h5,60000,9.999888888888889e-5,-113972.0,5.0233335,2.942702783
3R3X_Ising_Float64_1_v=1.0.h5,70000,8.571265306122449e-5,-132962.0,5.027143,3.294947549
3R3X_Ising_Float64_2_v=1.0.h5,70000,8.57134693877551e-5,-133012.0,4.9914284,3.502772632
3R3X_Ising_Float64_3_v=1.0.h5,70000,8.57134693877551e-5,-132964.0,5.0257144,3.376538206
3R3X_Ising_Float64_4_v=1.0.h5,70000,8.571265306122449e-5,-132958.0,5.0299997,3.385788135
3R3X_Ising_Float64_5_v=1.0.h5,70000,8.571265306122449e-5,-132972.0,5.02,3.387439041
3R3X_Ising_Float64_6_v=1.0.h5,70000,8.571224489795918e-5,-133060.0,4.957143,3.388802241
3R3X_Ising_Float64_7_v=1.0.h5,70000,8.571224489795918e-5,-132862.0,5.0985713,3.504959499
3R3X_Ising_Float64_8_v=1.0.h5,70000,8.571224489795918e-5,-133054.0,4.9614286,3.396309293
3R3X_Ising_Float64_9_v=1.0.h5,70000,8.571102040816327e-5,-132994.0,5.004286,3.419624846
3R3X_Ising_Float64_10_v=1.0.h5,70000,8.571224489795918e-5,-132988.0,5.0085716,3.393651391
3R3X_Ising_Float64_1_v=1.0.h5,80000,7.499875e-5,-151922.0,5.04875,3.870452023
3R3X_Ising_Float64_2_v=1.0.h5,80000,7.499875e-5,-151974.0,5.01625,3.862502593
3R3X_Ising_Float64_3_v=1.0.h5,80000,7.49978125e-5,-151966.0,5.02125,3.857964419
3R3X_Ising_Float64_4_v=1.0.h5,80000,7.4999375e-5,-151988.0,5.0074997,3.879275241
3R3X_Ising_Float64_5_v=1.0.h5,80000,7.499875e-5,-151970.0,5.0187497,3.859612766
3R3X_Ising_Float64_6_v=1.0.h5,80000,7.4998125e-5,-151948.0,5.0325,3.86341315
