instance,num_var,ground_energy,sbm_energy,gap,sbm_runtime
3R3X_Ising_with_HUBO_Float64_400_10_sparse.h5,400,-200.0,-179.0,10.5,0.066536067
3R3X_Ising_with_HUBO_Float64_400_1_sparse.h5,400,-200.0,-178.5,10.75,0.067468831
3R3X_Ising_with_HUBO_Float64_400_2_sparse.h5,400,-200.0,-178.5,10.75,0.06653671
3R3X_Ising_with_HUBO_Float64_400_3_sparse.h5,400,-200.0,-180.0,10.0,0.066565045
3R3X_Ising_with_HUBO_Float64_400_4_sparse.h5,400,-200.0,-178.5,10.75,0.066490131
3R3X_Ising_with_HUBO_Float64_400_5_sparse.h5,400,-200.0,-180.0,10.0,0.066551569
3R3X_Ising_with_HUBO_Float64_400_6_sparse.h5,400,-200.0,-179.0,10.5,0.066520299
3R3X_Ising_with_HUBO_Float64_400_7_sparse.h5,400,-200.0,-180.0,10.0,0.067952057
3R3X_Ising_with_HUBO_Float64_400_8_sparse.h5,400,-200.0,-180.5,9.75,0.06669539
3R3X_Ising_with_HUBO_Float64_400_9_sparse.h5,400,-200.0,-182.0,9.0,0.066517906
3R3X_Ising_with_HUBO_Float64_600_10_sparse.h5,600,-300.0,-266.5,11.166666666666666,0.066788718
3R3X_Ising_with_HUBO_Float64_600_1_sparse.h5,600,-300.0,-268.5,10.5,0.066769497
3R3X_Ising_with_HUBO_Float64_600_2_sparse.h5,600,-300.0,-267.0,11.0,0.067611514
3R3X_Ising_with_HUBO_Float64_600_3_sparse.h5,600,-300.0,-266.5,11.166666666666666,0.066880907
3R3X_Ising_with_HUBO_Float64_600_4_sparse.h5,600,-300.0,-268.0,10.666666666666668,0.066805814
3R3X_Ising_with_HUBO_Float64_600_5_sparse.h5,600,-300.0,-266.5,11.166666666666666,0.066741202
3R3X_Ising_with_HUBO_Float64_600_6_sparse.h5,600,-300.0,-267.0,11.0,0.067543463
3R3X_Ising_with_HUBO_Float64_600_7_sparse.h5,600,-300.0,-271.0,9.666666666666666,0.06891738
3R3X_Ising_with_HUBO_Float64_600_8_sparse.h5,600,-300.0,-267.0,11.0,0.555798604
3R3X_Ising_with_HUBO_Float64_600_9_sparse.h5,600,-300.0,-264.0,12.0,0.064029735
3R3X_Ising_with_HUBO_Float64_1000_10_sparse.h5,1000,-500.0,-444.0,11.200000000000001,0.063634823
3R3X_Ising_with_HUBO_Float64_1000_1_sparse.h5,1000,-500.0,-441.0,11.799999999999999,0.064328127
3R3X_Ising_with_HUBO_Float64_1000_2_sparse.h5,1000,-500.0,-440.5,11.899999999999999,0.06371913
3R3X_Ising_with_HUBO_Float64_1000_3_sparse.h5,1000,-500.0,-443.0,11.4,0.063663982
